iter	Passed	Remaining
0	1	171
1	3	156
2	4	145
3	5	133
4	6	131
5	8	127
6	9	124
7	10	121
8	11	119
9	13	117
10	14	117
11	15	114
12	16	113
13	18	111
14	19	109
15	20	109
16	22	108
17	23	106
18	24	104
19	25	103
20	27	102
21	28	101
22	29	99
23	31	98
24	32	97
25	33	95
26	35	94
27	36	93
28	37	92
29	39	91
30	40	90
31	41	89
32	43	87
33	44	86
34	45	85
35	46	83
36	48	81
37	49	81
38	51	79
39	52	78
40	53	76
41	54	74
42	55	73
43	56	71
44	57	70
45	58	69
46	60	67
47	61	66
48	62	65
49	64	64
50	65	62
51	66	61
52	67	60
53	69	58
54	69	57
55	71	55
56	72	54
57	73	53
58	74	52
59	76	50
60	77	49
61	79	48
62	80	47
63	81	45
64	82	44
65	84	43
66	85	42
67	86	40
68	87	39
69	89	38
70	90	36
71	91	35
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	99	27
78	100	26
79	101	25
80	102	24
81	104	22
82	105	21
83	106	20
84	108	19
85	109	17
86	110	16
87	111	15
88	113	13
89	114	12
90	115	11
91	116	10
92	118	8
93	119	7
94	120	6
95	122	5
96	123	3
97	124	2
98	126	1
99	127	0
